seed,lambda,SSIM,H1,S1,V1,H2,S2,V2,H3,S3,V3,H4,S4,V4,H5,S5,V5,Monochromatic,Analogous,Complementary,Triadic,Split Complementary,Double Complementary,Color,Variable,Feature,Space,Method,Subfolder
8242,0.0,18094.447,31,39,46,35,42,60,20.0,27.0,35.0,0.0,0.0,0.0,34.0,56.0,58.0,0.0,1.0,0.0,0.0,0.0,0.0,Brown,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
8242,1.0,18047.844,32,45,55,0,0,0,31.0,51.0,44.0,28.0,45.0,36.0,17.0,25.0,33.0,0.0,1.0,0.0,0.0,0.0,0.0,Brown,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
8242,2.0,16767.346,32,40,51,31,43,40,0.0,0.0,0.0,31.0,37.0,33.0,32.0,47.0,60.0,1.0,1.0,0.0,0.0,0.0,0.0,Brown,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
8242,3.0,15918.709,31,38,51,28,34,32,0.0,0.0,0.0,30.0,39.0,40.0,36.0,25.0,56.0,1.0,1.0,0.0,0.0,0.0,0.0,Brown,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
8242,4.0,14740.1455,31,26,41,29,32,28,0.0,0.0,0.0,31.0,26.0,50.0,36.0,23.0,62.0,1.0,1.0,0.0,0.0,0.0,0.0,Brown,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
8242,5.0,13087.74,30,3,25,30,4,39,0.0,0.0,0.0,30.0,3.0,48.0,30.0,4.0,18.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
8242,6.0,11099.688,0,0,24,0,0,33,0.0,0.0,0.0,0.0,0.0,41.0,0.0,0.0,16.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
8242,7.0,10283.713,0,0,23,0,0,0,0.0,0.0,31.0,0.0,0.0,38.0,0.0,0.0,16.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
8242,8.0,9574.929,0,0,20,0,0,0,0.0,0.0,27.0,0.0,0.0,36.0,0.0,0.0,44.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
8242,9.0,9207.574,0,0,19,0,0,0,0.0,0.0,27.0,0.0,0.0,35.0,0.0,0.0,43.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
8242,10.0,8055.1235,0,0,0,0,0,16,0.0,0.0,23.0,0.0,0.0,30.0,0.0,0.0,39.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
8242,11.0,7920.112,0,0,0,0,0,15,0.0,0.0,23.0,0.0,0.0,30.0,0.0,0.0,38.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
8242,12.0,7019.0967,0,0,0,0,0,13,0.0,0.0,19.0,0.0,0.0,28.0,0.0,0.0,36.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
8242,13.0,6127.698,0,0,0,0,0,13,0.0,0.0,20.0,0.0,0.0,30.0,0.0,0.0,38.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
8242,14.0,6223.876,0,0,0,0,0,13,0.0,0.0,19.0,0.0,0.0,26.0,0.0,0.0,34.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
8242,15.0,5865.5356,0,0,0,0,0,13,0.0,0.0,20.0,0.0,0.0,28.0,0.0,0.0,36.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
8809,0.0,10012.09,240,3,13,0,0,0,0.0,0.0,71.0,0.0,0.0,48.0,0.0,0.0,25.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
8809,1.0,8382.932,240,3,13,0,0,0,0.0,0.0,69.0,0.0,0.0,59.0,0.0,0.0,49.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
8809,2.0,7391.5933,0,0,0,0,0,10,0.0,0.0,71.0,0.0,0.0,49.0,0.0,0.0,19.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
8809,3.0,7260.2705,0,0,0,0,0,11,180.0,1.0,68.0,180.0,1.0,56.0,0.0,0.0,31.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
8809,4.0,7158.19,0,0,0,0,0,70,0.0,0.0,10.0,0.0,0.0,42.0,0.0,0.0,60.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
8809,5.0,7032.3657,0,0,0,0,0,70,0.0,0.0,9.0,0.0,0.0,61.0,0.0,0.0,31.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
8809,6.0,6460.9634,0,0,0,0,0,69,0.0,0.0,9.0,0.0,0.0,59.0,0.0,0.0,50.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
8809,7.0,6258.0396,0,0,0,0,0,69,0.0,0.0,9.0,0.0,0.0,58.0,0.0,0.0,49.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
8809,8.0,6018.4204,0,0,0,180,1,68,0.0,0.0,9.0,180.0,1.0,58.0,0.0,0.0,24.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
8809,9.0,5701.3564,0,0,0,0,0,69,0.0,0.0,59.0,0.0,0.0,9.0,0.0,0.0,37.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
8809,10.0,5302.606,0,0,0,0,0,71,0.0,0.0,62.0,0.0,0.0,42.0,0.0,0.0,30.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
8809,11.0,4894.086,0,0,0,0,0,70,0.0,0.0,56.0,0.0,0.0,38.0,0.0,0.0,9.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
8809,12.0,4674.2827,0,0,0,0,0,71,0.0,0.0,61.0,0.0,0.0,30.0,0.0,0.0,52.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
8809,13.0,4386.3726,0,0,0,0,0,62,0.0,0.0,50.0,0.0,0.0,73.0,0.0,0.0,41.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
8809,14.0,3943.2122,0,0,0,0,0,58,0.0,0.0,70.0,0.0,0.0,37.0,0.0,0.0,48.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
8809,15.0,3436.6794,0,0,0,0,0,53,0.0,0.0,36.0,0.0,0.0,62.0,0.0,0.0,15.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
6085,0.0,11409.077,36,8,47,0,0,0,33.0,8.0,56.0,36.0,10.0,39.0,42.0,6.0,65.0,1.0,1.0,0.0,0.0,0.0,0.0,Yellow,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
6085,1.0,10566.755,0,0,45,0,0,0,0.0,0.0,38.0,0.0,0.0,54.0,0.0,0.0,64.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
6085,2.0,10318.289,0,0,0,0,0,44,0.0,0.0,52.0,0.0,0.0,36.0,0.0,0.0,62.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
6085,3.0,10145.575,0,0,0,0,0,44,0.0,0.0,35.0,0.0,0.0,53.0,0.0,0.0,62.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
6085,4.0,9875.544,0,0,0,0,0,38,0.0,0.0,51.0,0.0,0.0,62.0,0.0,0.0,29.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
6085,5.0,9511.504,0,0,0,0,0,38,0.0,0.0,47.0,0.0,0.0,56.0,0.0,0.0,65.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
6085,6.0,9068.679,0,0,0,0,0,36,0.0,0.0,58.0,0.0,0.0,44.0,0.0,0.0,69.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
6085,7.0,8575.554,0,0,0,0,0,38,0.0,0.0,48.0,0.0,0.0,69.0,0.0,0.0,56.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
6085,8.0,8051.039,0,0,0,0,0,49,0.0,0.0,58.0,0.0,0.0,39.0,0.0,0.0,69.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
6085,9.0,7429.455,0,0,0,0,0,60,0.0,0.0,36.0,0.0,0.0,51.0,0.0,0.0,69.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
6085,10.0,6718.4526,0,0,0,0,0,57,0.0,0.0,44.0,0.0,0.0,21.0,0.0,0.0,66.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
6085,11.0,5965.558,0,0,0,0,0,44,0.0,0.0,56.0,0.0,0.0,66.0,0.0,0.0,35.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
6085,12.0,5335.828,0,0,0,0,0,50,0.0,0.0,30.0,0.0,0.0,63.0,0.0,0.0,21.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
6085,13.0,4614.984,0,0,0,0,0,44,0.0,0.0,30.0,0.0,0.0,55.0,0.0,0.0,20.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
6085,14.0,3878.4866,0,0,0,0,0,38,0.0,0.0,24.0,0.0,0.0,47.0,0.0,0.0,57.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
6085,15.0,3193.9785,0,0,0,0,0,34,0.0,0.0,23.0,0.0,0.0,44.0,0.0,0.0,57.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
2171,0.0,9706.899,40,17,54,38,22,43,0.0,0.0,0.0,37.0,27.0,33.0,43.0,13.0,62.0,1.0,1.0,0.0,0.0,0.0,0.0,Yellow,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
2171,1.0,9516.638,0,0,31,0,0,50,0.0,0.0,0.0,0.0,0.0,42.0,0.0,0.0,24.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
2171,2.0,9044.807,0,0,50,0,0,0,0.0,0.0,42.0,0.0,0.0,31.0,0.0,0.0,24.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
2171,3.0,9059.272,0,0,50,0,0,38,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,58.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
2171,4.0,9048.298,0,0,50,0,0,0,0.0,0.0,39.0,0.0,0.0,31.0,0.0,0.0,58.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
2171,5.0,9019.64,0,0,45,0,0,0,0.0,0.0,37.0,0.0,0.0,54.0,0.0,0.0,29.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
2171,6.0,9108.88,0,0,44,0,0,0,0.0,0.0,53.0,0.0,0.0,36.0,0.0,0.0,61.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
2171,7.0,9249.206,0,0,44,0,0,0,0.0,0.0,52.0,0.0,0.0,36.0,0.0,0.0,61.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
2171,8.0,9327.3,0,0,44,0,0,0,0.0,0.0,52.0,0.0,0.0,36.0,0.0,0.0,61.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
2171,9.0,9402.725,0,0,44,0,0,0,0.0,0.0,53.0,0.0,0.0,36.0,0.0,0.0,62.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
2171,10.0,9466.907,0,0,50,0,0,0,0.0,0.0,42.0,0.0,0.0,58.0,0.0,0.0,68.0,1.0,1.0,0.0,0.0,0.0,0.0,BW,Color,BW,w,ShapleyVec_True_0.25_8_Color_LR,ShapleyVec/color/
